screen_no,start_sec,end_sec,start_hms,end_hms,file
1,0.0,0.5005,00:00:00,00:00:00,screen_0001.jpg
2,0.5005,2.002,00:00:00,00:00:02,screen_0002.jpg
3,2.002,4.504499999999999,00:00:02,00:00:04,screen_0003.jpg
4,4.504499999999999,5.005,00:00:04,00:00:05,screen_0004.jpg
5,5.005,5.5055,00:00:05,00:00:05,screen_0005.jpg
6,5.5055,6.005999999999999,00:00:05,00:00:06,screen_0006.jpg
7,6.005999999999999,6.5065,00:00:06,00:00:06,screen_0007.jpg
8,6.5065,7.007,00:00:06,00:00:07,screen_0008.jpg
9,7.007,7.507499999999999,00:00:07,00:00:07,screen_0009.jpg
10,7.507499999999999,8.008,00:00:07,00:00:08,screen_0010.jpg
11,8.008,10.01,00:00:08,00:00:10,screen_0011.jpg
12,10.01,10.5105,00:00:10,00:00:10,screen_0012.jpg
13,10.5105,11.011,00:00:10,00:00:11,screen_0013.jpg
14,11.011,290.29,00:00:11,00:04:50,screen_0014.jpg
15,290.29,290.79049999999995,00:04:50,00:04:50,screen_0015.jpg
16,290.79049999999995,291.291,00:04:50,00:04:51,screen_0016.jpg
17,291.291,291.7915,00:04:51,00:04:51,screen_0017.jpg
18,291.7915,292.292,00:04:51,00:04:52,screen_0018.jpg
19,292.292,295.295,00:04:52,00:04:55,screen_0019.jpg
20,295.295,362.8625,00:04:55,00:06:02,screen_0020.jpg
21,362.8625,376.8765,00:06:02,00:06:16,screen_0021.jpg
22,376.8765,382.8825,00:06:16,00:06:22,screen_0022.jpg
23,382.8825,398.398,00:06:22,00:06:38,screen_0023.jpg
24,398.398,406.406,00:06:38,00:06:46,screen_0024.jpg
25,406.406,421.421,00:06:46,00:07:01,screen_0025.jpg
26,421.421,421.9215,00:07:01,00:07:01,screen_0026.jpg
27,421.9215,422.422,00:07:01,00:07:02,screen_0027.jpg
28,422.422,423.9235,00:07:02,00:07:03,screen_0028.jpg
29,423.9235,427.427,00:07:03,00:07:07,screen_0029.jpg
30,427.427,461.461,00:07:07,00:07:41,screen_0030.jpg
31,461.461,489.489,00:07:41,00:08:09,screen_0031.jpg
32,489.489,489.9895,00:08:09,00:08:09,screen_0032.jpg
33,489.9895,490.49,00:08:09,00:08:10,screen_0033.jpg
34,490.49,491.491,00:08:10,00:08:11,screen_0034.jpg
35,491.491,491.9915,00:08:11,00:08:11,screen_0035.jpg
36,491.9915,492.492,00:08:11,00:08:12,screen_0036.jpg
37,492.492,492.9925,00:08:12,00:08:12,screen_0037.jpg
38,492.9925,494.494,00:08:12,00:08:14,screen_0038.jpg
39,494.494,497.497,00:08:14,00:08:17,screen_0039.jpg
40,497.497,497.9975,00:08:17,00:08:17,screen_0040.jpg
41,497.9975,498.498,00:08:17,00:08:18,screen_0041.jpg
42,498.498,498.9985,00:08:18,00:08:18,screen_0042.jpg
43,498.9985,500.5,00:08:18,00:08:20,screen_0043.jpg
44,500.5,501.0005,00:08:20,00:08:21,screen_0044.jpg
